origin,passengers,enplanements,departures,arrivals,freight,mail,year
ATL,45478621,45406031,345209,345083,314043628,9765781,2024
DEN,37909172,37751107,321994,321941,268580045,11985540,2024
DFW,36382528,36327693,320463,320632,401227441,43097169,2024
ORD,31683551,31613389,328086,329047,381704912,26670187,2024
LAS,26515132,26383142,202584,202522,94848066,5862462,2024
LAX,26340206,26239010,206637,207004,844016086,47992961,2024
CLT,26230008,26172279,255929,256004,142525320,13268485,2024
PHX,24290346,24145821,208622,208453,305428045,12503778,2024
MCO,24153975,24109668,167057,166982,150892656,7444699,2024
SEA,22288303,22279609,191107,191040,349031837,14452644,2024
SFO,17666714,17631272,138571,138528,218234842,8795256,2024
IAH,17539811,17464743,170715,171112,331112533,13273210,2024
EWR,16942091,16928416,147951,146590,467804475,13660853,2024
BOS,16874194,16855500,164312,164641,152900687,6817420,2024
MSP,16338959,16321623,145783,146275,159432352,9737084,2024
LGA,15840703,15839248,159370,159413,6264129,2330,2024
MIA,14969632,14921318,117448,117739,508422652,16159714,2024
DTW,14452292,14425694,134798,134879,102982948,5278775,2024
JFK,13933663,13918304,127460,127981,365108379,14539717,2024
FLL,13674638,13655237,97426,97224,96820967,1100727,2024
PHL,13231652,13195311,129624,129854,330004946,19380995,2024
SLC,12910474,12883266,118793,118258,153729267,13370279,2024
BWI,12714673,12605406,103524,103825,231898790,7014412,2024
DCA,12512465,12500236,141063,141110,1167724,0,2024
SAN,12384394,12277942,97741,97804,100134869,8121843,2024
BNA,11875070,11798157,104088,104061,65720463,37242,2024
TPA,11407613,11362891,86286,86359,82516234,7483379,2024
AUS,10273729,10159438,90001,89872,135628566,222532,2024
MDW,10100277,10016976,79285,79229,17218304,0,2024
DAL,8798543,8644402,75177,75119,14785350,0,2024
HNL,8725224,8708478,84067,83648,454360969,48749056,2024
PDX,8239244,8223580,81043,81597,223627793,14464533,2024
IAD,8097299,8041768,86959,87571,89292121,830471,2024
STL,7636845,7569385,72091,72165,79488040,2945,2024
RDU,7328063,7285042,66919,67108,69267215,1077778,2024
HOU,6711732,6639433,58091,58070,11675144,277,2024
SMF,6502669,6469089,59380,59582,98433756,137337,2024
MSY,6470310,6414251,53061,53185,46353188,2637254,2024
MCI,5907847,5828768,55111,55042,126831570,7557865,2024
SJU,5743421,5726986,51483,51433,140644217,6119911,2024
SJC,5547234,5502643,52111,51995,34333107,12237,2024
RSW,5279987,5252997,38303,38298,15753395,31358,2024
SNA,5207539,5188918,47578,47387,24740311,0,2024
IND,5194000,5146280,60772,60544,842478043,84741,2024
SAT,5190902,5109821,45773,45676,93395164,7289063,2024
OAK,5036430,4983849,54132,54415,519121126,18390354,2024
CLE,4850683,4830320,44669,44468,77237661,2674614,2024
PIT,4782209,4742054,51528,51576,80644301,4555962,2024
CVG,4382173,4357453,64116,64843,1226084151,92025,2024
CMH,4376056,4350403,44519,44513,4784083,303503,2024
PBI,4103353,4084956,31645,31635,25545601,31904,2024
JAX,3780630,3749052,33099,33182,62850080,6238073,2024
BUR,3395462,3382931,38707,38676,36282237,30,2024
ONT,3314985,3277040,42376,42124,829279681,68774220,2024
OGG,3299779,3294923,36836,37029,23087529,2453831,2024
BDL,3246935,3233502,29893,29987,150293871,6516437,2024
CHS,3137202,3104355,29875,30476,7807350,35,2024
MKE,3091211,3070094,33505,33317,55750271,1590688,2024
ABQ,2729021,2690201,30167,30040,43809885,2574456,2024
ANC,2702278,2699874,71765,65160,3116063944,95095127,2024
OMA,2618814,2580019,26863,26856,45364914,7846996,2024
BUF,2509317,2496031,25560,25577,30197437,1525121,2024
RIC,2486507,2455831,27600,27602,84742048,3310659,2024
BOI,2483177,2474747,29301,29307,44615194,5565332,2024
ORF,2471705,2444479,25514,25634,17360009,611,2024
MEM,2468198,2437316,82214,80322,3710072450,2281969,2024
SDF,2381507,2342487,74603,73963,2783912290,322487696,2024
RNO,2354499,2342128,24987,24809,65548126,251808,2024
OKC,2311284,2243268,25897,25953,30283427,3626727,2024
SRQ,2111730,2103213,16602,16605,111651,0,2024
GRR,2079015,2064686,21264,21034,33725700,2513,2024
ELP,2074997,2050734,22012,22151,84888547,2271979,2024
GEG,2069196,2064108,23405,24972,49173822,6007108,2024
LGB,2060961,2031092,17953,17962,18818127,0,2024
SAV,2034700,2020183,21833,21851,10305814,97,2024
PVD,1990470,1984163,20946,20812,11597508,0,2024
KOA,1984120,1982155,19469,19614,45061167,1583691,2024
TUS,1974784,1956368,20491,20523,25464458,0,2024
MYR,1906347,1894913,17553,17605,785860,295,2024
LIH,1767428,1766400,17882,18083,23091043,694240,2024
TUL,1665687,1625731,20396,20405,51559211,4879,2024
TYS,1643661,1638690,20819,20817,27882516,51695,2024
BHM,1631579,1595587,19884,20052,18502683,9382,2024
DSM,1569967,1554180,16877,16904,25013532,0,2024
PNS,1537569,1528070,15781,15828,5446855,2715654,2024
ALB,1503774,1490421,16737,16767,21753432,3814,2024
SYR,1494612,1486254,18450,18454,36538056,2490370,2024
